№,Вариант,X,Y,Z,Результат,Комментарий
1,1,1,2,0,ERROR:...,Z=0 — деление на ноль
2,1,-4,2,1,ERROR:...,X<0 — корень из отрицательного
3,1,-1,2,0,ERROR:...,X<0 и Z=0
4,1,1,2,3,RESULT: 2.000,"корректный, целый результат"
5,1,1,0,3,RESULT: 1.333,"корректный, дробный результат"
6,2,1,2,0,ERROR:...,Z=0 — деление на ноль
7,2,-3,5,0,ERROR:...,Z=0 — деление на ноль
8,2,6,2,3,RESULT: 6.000,"корректный, целый результат"
9,2,1,2,3,RESULT: 4.333,"корректный, дробный результат"
10,3,-9,0,2,ERROR:...,X<0 — корень из отрицательного
11,3,-1,5,0,ERROR:...,X<0 — корень из отрицательного
12,3,9,0,2,RESULT: 14.000,"корректный, целый результат"
13,3,2,0,1,RESULT: 9.414,"корректный, дробный результат"
14,4,-4,2,1,ERROR:...,X<0 — корень из отрицательного
15,4,-1,0,0,ERROR:...,X<0 — корень из отрицательного
16,4,1,1,1,RESULT: 5.000,"корректный, целый результат"
17,4,3,1,1,RESULT: 7.196,"корректный, дробный результат"
18,5,-4,2,1,ERROR:...,X<0 — корень из отрицательного
19,5,4,6,0,ERROR:...,Z=0 — деление на ноль
20,5,4,6,2,RESULT: 2.000,"корректный, целый результат"
21,5,4,5,2,RESULT: 1.500,"корректный, дробный результат"
22,6,5,1,0,ERROR:...,Z=0 — деление на ноль (mod)
23,6,-5,1,3,ERROR:...,X%Z<0 — корень из отрицательного
24,6,4,2,2,RESULT: 2.000,"корректный, целый результат"
25,6,5,1,3,RESULT: 2.414,"корректный, дробный результат"
26,7,5,2,0,ERROR:...,Z=0 — деление на ноль (mod)
27,7,5,-4,3,ERROR:...,Y<0 — корень из отрицательного
28,7,7,4,3,RESULT: 3.000,"корректный, целый результат"
29,7,5,2,3,RESULT: 3.414,"корректный, дробный результат"
30,8,4,0,0,ERROR:...,Z=0 — деление на ноль
31,8,-1,0,2,ERROR:...,X<0 — корень из отрицательного
32,8,16,0,2,RESULT: 1.000,"корректный, целый результат"
33,8,4,0,4,RESULT: 0.500,"корректный, дробный результат"
34,9,0,1,3,ERROR:...,X=0 — деление на ноль
35,9,2,-4,1,ERROR:...,Y<0 — корень из отрицательного
36,9,2,1,2,RESULT: 8.000,"корректный, целый результат"
37,9,3,1,1,RESULT: 7.333,"корректный, дробный результат"
38,10,1,4,0,ERROR:...,Z=0 — деление на ноль
39,10,1,-1,2,ERROR:...,Y<0 — корень из отрицательного
40,10,1,1,1,RESULT: 2.000,"корректный, целый результат"
41,10,1,4,2,RESULT: 1.500,"корректный, дробный результат"
42,11,8,4,0,ERROR:...,Z=0 — деление на ноль (mod)
43,11,1,-4,2,ERROR:...,Y<0 — корень из отрицательного
44,11,8,4,3,RESULT: 1.000,"корректный, целый результат"
45,11,1,2,2,RESULT: 0.414,"корректный, дробный результат"
46,12,7,4,0,ERROR:...,Z=0 — деление на ноль (mod)
47,12,7,-9,3,ERROR:...,Y<0 — корень из отрицательного
48,12,7,4,3,RESULT: 3.000,"корректный, целый результат"
49,12,5,2,3,RESULT: 3.414,"корректный, дробный результат"
50,13,4,3,0,ERROR:...,Z=0 — деление на ноль (mod)
51,13,10,10,0,ERROR:...,Z=0 — деление на ноль (mod)
52,13,4,3,5,RESULT: 2.000,"корректный, целый результат"
53,13,5,5,3,RESULT: 1.000,целый (дробного результата не бывает)
54,14,0,9,4,ERROR:...,X=0 — деление на ноль (mod)
55,14,5,6,0,ERROR:...,Z=0 — деление на ноль
56,14,5,6,-1,ERROR:...,Z<0 — корень из отрицательного
57,14,5,9,4,RESULT: 2.000,"корректный, целый результат"
58,14,5,6,4,RESULT: 0.500,"корректный, дробный результат"
59,15,1,5,0,ERROR:...,Z=0 — деление на ноль
60,15,1,5,-4,ERROR:...,Z<0 — корень из отрицательного
61,15,1,5,4,RESULT: 2.000,"корректный, целый результат"
62,15,1,2,4,RESULT: 0.500,"корректный, дробный результат"
